Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2015/11/4,0.2691,4.31,0.2691,4.31,339100,6369,8430,3923,2129,1174
2015/11/5,-0.0123,3.6425,-0.1189,1.83,553300,6599,7690,4300,2259,1171
2015/11/6,-0.238,2.0882,-0.3972,1.91,429200,7520,9632,4734,2471,1294
2015/11/9,-0.0427,2.3322,-0.0427,1.58,503000,4623,6369,3043,1609,814
2015/11/10,-0.8085,0.6211,-1.0691,-0.18,429700,7136,9492,4521,2350,1215
2015/11/11,-0.1506,0.3953,-0.9577,0.27,361000,5834,7955,3909,1947,1031
2015/11/12,0.1799,0.2484,-1.2882,-0.48,361700,7089,9346,4181,2102,1097
2015/11/13,-0.8846,-0.0095,-1.8743,-1.43,345900,7464,9104,4394,2185,1006
2015/11/16,-1.6303,0.7477,-1.7152,0.73,276200,6076,8141,3823,1863,933
2015/11/17,0.6382,1.9772,-0.2464,-0.06,383600,7391,8897,4263,2893,1054
2015/11/18,0.0074,0.3405,-1.2788,-1.01,297600,7363,8635,4336,2360,1162
2015/11/19,0.1487,1.394,-0.208,1.36,247900,6647,7714,3710,1797,1100
2015/11/20,0.1031,0.6488,-0.2529,0.37,310800,5963,7040,3305,1448,710
2015/11/23,0.0101,0.6681,-0.8712,-0.56,316000,6346,8098,3689,1935,973
2015/11/24,-0.2057,0.1709,-1.3077,0.16,248800,7829,9843,4512,2211,1181
2015/11/25,-0.0566,0.8919,-0.2377,0.88,273000,7820,9646,4276,1905,953
2015/11/26,0.3192,0.5605,-0.4952,-0.34,306800,7147,9281,4109,1792,978
2015/11/27,-0.5228,-0.3756,-6.1373,-5.48,354300,10319,9868,5140,2451,1345
2015/11/30,-0.0712,0.9914,-3.1572,0.26,304200,8041,8772,4384,2165,1212
2015/12/1,-0.086,1.1032,-0.8086,0.32,252400,7592,9191,3765,1886,1047
2015/12/2,-0.1745,2.388,-0.8289,2.33,301500,7955,9731,4327,2424,1133
2015/12/3,-0.316,1.5501,-0.5563,1.35,281100,7012,9231,3830,1906,1059
2015/12/4,-0.7441,-0.4423,-2.0757,-1.67,251700,7803,10084,4239,1895,1068
2015/12/7,0.1366,0.5377,-0.521,0.34,208300,7036,11143,3895,1851,1003
2015/12/8,-0.5168,-0.5168,-1.983,-1.89,224400,7434,11118,4041,1809,1034
2015/12/9,-0.2158,0.7387,-0.4378,0.07,195700,7799,11417,5002,1913,1075
2015/12/10,-0.0758,0.8989,-0.7535,-0.49,200400,8731,11459,4415,2227,1031
2015/12/11,-0.4022,0.0015,-1.2899,-0.61,182900,7677,10258,4134,2118,1155
2015/12/14,-0.9047,2.5388,-1.0278,2.51,215400,7591,9336,4825,2139,1169
2015/12/15,-0.0722,0.264,-0.6764,-0.29,200500,6357,8105,4341,1899,1049
2015/12/16,0.3344,0.8072,-0.1157,0.17,193500,6905,11126,4005,1960,1128
2015/12/17,0.496,1.9118,0.496,1.81,283900,7427,12151,4060,2308,1149
2015/12/18,-0.1413,0.9692,-0.3307,-0.03,273700,6325,10779,3593,2089,913
2015/12/21,-0.2901,2.0143,-0.3692,1.77,299800,7521,8868,4496,2185,1098
2015/12/22,0.0966,0.279,-0.7029,0.26,261200,7233,7902,4134,1903,1124
2015/12/23,0.0415,0.8982,-0.5132,-0.43,298200,6915,9776,4257,1917,1106
2015/12/24,-0.1314,0.1136,-1.755,-0.65,227800,7645,9068,4279,2107,1075
2015/12/25,0.0434,0.6303,-0.2975,0.43,192500,6188,6890,3102,1455,840
2015/12/28,0.2141,0.3745,-2.5971,-2.6,270000,6781,7887,4147,1923,997
2015/12/29,-0.1524,0.86,-0.5167,0.85,182600,6834,7465,4255,1902,922
2015/12/30,0.084,0.2791,-0.719,0.26,187900,4944,5520,3298,1470,871
2015/12/31,-0.0674,0.2162,-0.9663,-0.94,177000,5996,7284,3794,1810,935
2016/1/4,-0.0733,-0.0139,-6.8785,-6.86,184400,10812,13036,7018,3756,2251
2016/1/5,-3.0218,0.9672,-3.2356,-0.26,266900,9619,10043,5726,2990,1546
2016/1/6,0.106,2.2892,0.0372,2.25,238900,7937,8433,4595,2138,1020
2016/1/7,-1.5522,-1.5522,-7.3161,-7.04,70600,13383,16231,8944,4708,3042
2016/1/8,2.2279,3.5344,-2.18,1.97,286400,8895,10507,5488,2835,1473
2016/1/11,-1.7122,-0.6338,-5.3262,-5.33,271600,9716,10824,5458,2656,1482
2016/1/12,0.3134,1.0263,-1.2676,0.2,207700,10149,11569,5483,2717,1367
2016/1/13,0.6036,1.196,-2.4338,-2.42,194300,8757,11488,5333,2908,1512
2016/1/14,-2.5613,2.1256,-2.7815,1.97,212900,8950,11020,5658,2903,1518
2016/1/15,-0.6517,-0.1975,-4.1155,-3.55,198700,8424,9940,5234,3114,1510
2016/1/18,-1.8418,1.5333,-1.9396,0.44,164700,7656,9966,4822,2333,1209
2016/1/19,0.0196,3.3712,-0.2551,3.22,205300,7114,9434,4327,2245,1195
2016/1/20,-0.4896,0.2841,-1.8558,-1.03,216500,7041,9325,4663,2247,1156
2016/1/21,-1.4211,0.7423,-3.2455,-3.23,191700,7513,8861,4593,2360,1200
2016/1/22,1.0634,1.7663,-0.9981,1.25,159800,7558,9974,4262,2263,1320
2016/1/25,0.6006,1.3448,-0.1623,0.75,153000,6192,8600,3749,1949,960
2016/1/26,-1.048,-0.9026,-6.625,-6.42,210800,9630,10876,5955,2749,1609
2016/1/27,0.229,0.6905,-4.0542,-0.52,215700,9602,10160,5668,2845,1459
2016/1/28,-0.892,0.182,-3.2193,-2.92,171100,7990,9807,5345,2322,1483
2016/1/29,-0.1057,3.7545,-0.221,3.09,186700,6379,7181,4012,1809,1050
2016/2/1,-0.2417,-0.0857,-2.9945,-1.78,156400,6446,6680,4131,1801,1340
2016/2/2,-0.0324,2.4659,-0.0324,2.26,158100,6508,6252,3873,1587,1275
2016/2/3,-1.0909,-0.1272,-1.9162,-0.38,148400,5856,5377,3460,1323,1052
2016/2/4,0.4448,1.9732,0.4405,1.53,170400,5117,5208,3073,1582,1102
2016/2/5,0.0738,0.325,-0.6783,-0.63,141200,5812,6240,3296,2314,1877
2016/2/15,-2.8417,-0.1134,-2.9456,-0.63,129300,6049,7103,3476,1599,984
2016/2/16,0.4509,3.4384,0.4509,3.29,196000,6566,8682,3827,1761,1047
2016/2/17,-0.24,1.1327,-0.4306,1.08,216900,6915,8874,4451,2315,1307
2016/2/18,0.5036,0.9025,-0.3362,-0.16,219200,6659,9103,3782,2086,1270
2016/2/19,-0.2791,0.3434,-0.7826,-0.1,163400,5706,8181,3203,1631,956
2016/2/22,0.9992,2.5854,0.7107,2.35,232200,6223,8952,3774,1522,831
2016/2/23,-0.0501,0.0298,-1.8753,-0.81,199700,5879,9112,3777,2009,1118
2016/2/24,-0.4631,0.9141,-1.0697,0.88,213400,6064,8443,3535,2041,975
2016/2/25,-0.2274,-0.2274,-6.7959,-6.41,270300,8467,10194,5022,2425,1329
2016/2/26,0.6863,1.5872,-0.9255,0.95,191100,6891,7833,3696,2113,1013
2016/2/29,-0.448,-0.4091,-4.6345,-2.86,207400,8452,10833,4893,2302,1367
2016/3/1,0.0149,2.2166,-0.7151,1.68,187200,8340,9572,4994,2467,1613
2016/3/2,0.0218,4.3733,-0.0231,4.26,271000,8108,10635,5296,2413,1277
2016/3/3,-0.0825,1.0094,-0.309,0.35,287500,7158,9634,4541,2273,1092
2016/3/4,-0.3923,0.7208,-1.7802,0.5,312500,7061,9804,4541,1994,1130
2016/3/7,0.4347,1.3114,-0.0975,0.81,217500,6422,9090,4406,1846,988
2016/3/8,-0.0578,0.1823,-3.2712,0.14,233500,6868,9471,4445,2136,1103
2016/3/9,-2.1361,-1.3225,-3.0906,-1.34,183400,7317,11208,4822,2158,1078
2016/3/10,-0.5236,0.0217,-2.0639,-2.02,139000,6717,10520,4628,1903,854
2016/3/11,-0.8245,0.3879,-1.1472,0.2,127200,2773,4211,1654,763,403
2016/3/14,0.7037,2.8292,0.4527,1.75,194800,1681,3107,1101,346,314
2016/3/15,-0.1931,0.2199,-1.3885,0.17,163400,1678,2983,1180,322,290
2016/3/16,-0.1976,0.5991,-0.3553,0.21,186500,1829,2974,1124,398,349
2016/3/17,0.1735,1.7618,-0.4612,1.2,200300,1512,3362,1110,355,310
2016/3/18,0.3679,2.2968,0.1346,1.73,313300,1745,3230,1151,352,293
2016/3/21,0.7886,2.4761,0.6297,2.15,352400,3862,7179,2751,1127,712
2016/3/22,-0.5688,0.0099,-1.0062,-0.64,270400,6757,12440,4653,2201,1036
2016/3/23,-0.2732,0.44,-0.6171,0.35,217000,7455,12171,5215,2276,1144
2016/3/24,-0.7694,-0.3922,-1.642,-1.63,237000,7224,13111,5008,2059,1038
2016/3/25,-0.1611,0.6902,-0.2994,0.61,169800,6045,12030,4533,1693,928
2016/3/28,0.2982,0.9748,-1.0272,-0.72,202000,6588,13012,5052,2120,1211
2016/3/29,-0.0377,0.1482,-1.7773,-1.28,183000,6242,10663,5054,2101,1138
2016/3/30,0.7324,2.7835,0.7324,2.77,210400,6506,12550,4899,1920,1003
2016/3/31,0.2907,0.7586,-0.2576,0.11,220400,7096,12769,5059,2059,1025
2016/4/1,-0.2273,0.1917,-1.5869,0.19,206500,6445,10363,4456,2063,916
2016/4/5,-0.2855,1.5883,-0.5443,1.45,256700,7822,11553,5776,2013,1199
2016/4/6,-0.4363,0.2204,-0.7881,-0.08,232300,7876,13576,5099,1961,1052
2016/4/7,0.254,0.3857,-1.427,-1.38,220900,7042,12421,4813,2267,1009
2016/4/8,-0.6721,-0.4072,-1.5942,-0.78,187900,6945,13292,4733,1991,934
2016/4/11,0.7354,2.1447,0.7354,1.64,220000,7861,15150,5503,2240,1168
2016/4/12,-0.0875,0.0945,-1.0759,-0.34,182700,7051,15264,5134,2103,1166
2016/4/13,0.5858,2.4315,0.5858,1.42,310000,7777,16161,6116,2634,1395
2016/4/14,0.4387,0.6541,-0.3146,0.51,208200,6831,13972,4651,2323,947
2016/4/15,0.0864,0.2462,-0.5025,-0.14,189600,6004,14161,4470,2524,1226
2016/4/18,-0.6385,-0.6385,-1.7916,-1.44,183300,6541,16674,5029,2737,1087
2016/4/19,0.4441,0.6871,-0.2889,0.3,156500,7096,18004,4839,3140,1108
2016/4/20,0.2484,0.4228,-4.5278,-2.31,283100,7712,16923,5249,3052,1763
2016/4/21,-0.6127,0.6085,-0.9796,-0.66,189400,8298,17374,5777,2729,1717
2016/4/22,-0.6724,0.2478,-0.8844,0.22,137200,7134,18984,5010,2862,1311
2016/4/25,-0.3132,-0.174,-1.4267,-0.42,125900,7616,15924,5218,2781,1276
2016/4/26,-0.0663,0.6366,-0.431,0.61,117700,7291,18197,5099,2834,1311
2016/4/27,0.084,0.3819,-0.515,-0.37,130900,7203,17234,4543,2540,1140
2016/4/28,0.0701,0.1978,-1.2627,-0.27,138700,7622,16558,5599,2418,1292
2016/4/29,-0.3467,0.1693,-0.5171,-0.25,109300,6696,9870,4275,2314,1042
2016/5/3,0.0704,1.879,-0.2896,1.85,168700,7958,13408,5717,2713,1109
2016/5/4,-0.3213,0.3935,-0.4783,-0.05,165400,7499,15121,4836,2393,1015
2016/5/5,-0.1421,0.2623,-0.4704,0.22,144800,8162,12600,4803,2359,1038
2016/5/6,0.0187,0.1917,-2.8289,-2.82,206800,7668,15917,5330,2365,1180
2016/5/9,-0.5865,-0.5865,-3.1382,-2.79,180400,8299,15810,5605,2465,1143
2016/5/10,-0.3455,0.4634,-0.4219,0.02,120800,6959,13943,5696,2382,1133
2016/5/11,0.3867,0.8707,-0.4904,0.16,135800,6332,11100,5941,2460,979
2016/5/12,-0.8787,0.0789,-1.9669,-0.04,136300,6690,11734,5327,2557,1091
2016/5/13,-0.2609,0.5018,-0.7669,-0.31,114300,5829,6772,4930,2274,951
2016/5/16,-0.3655,0.8532,-0.7824,0.84,114700,6972,8427,5191,2675,1135
2016/5/17,0.0022,0.3318,-0.6455,-0.25,123400,7429,8956,4717,2485,959
2016/5/18,-0.5453,-0.5426,-2.1897,-1.27,140500,7453,10457,5274,2558,1182
2016/5/19,-0.1852,0.7796,-0.2125,-0.02,111600,2701,5090,2362,869,689
2016/5/20,-0.4994,0.6785,-0.7776,0.66,108700,5471,8422,4308,1898,1016
2016/5/23,0.0293,0.7994,0.0274,0.64,120500,7087,11266,5072,2968,937
2016/5/24,-0.1394,-0.1389,-1.2821,-0.77,111500,6325,7183,4911,2587,1184
2016/5/25,0.4736,0.7619,-0.4932,-0.23,103500,6924,8431,4602,2940,1217
2016/5/26,-0.0548,0.4265,-1.2193,0.26,114800,6035,6937,4424,2125,1029
2016/5/27,-0.1586,0.3669,-0.448,-0.05,109800,6206,6086,4439,2195,843
2016/5/30,-0.2267,0.3518,-0.9353,0.05,106300,6521,6767,4135,2349,805
2016/5/31,0.005,3.3547,0.005,3.34,215300,7300,8553,5376,2701,1315
2016/6/1,0.0184,0.4272,-0.2436,-0.11,188400,5982,6676,4490,2430,1233
2016/6/2,-0.0786,0.4174,-0.2397,0.4,159700,5271,5545,3499,1841,765
2016/6/3,0.1559,0.6936,-0.3434,0.46,172000,5935,6108,3530,2244,772
2016/6/6,0.0787,0.247,-0.558,-0.16,142000,6325,8635,3727,2050,835
2016/6/7,0.0744,0.1481,-0.3611,0.07,133000,6825,8782,3828,2130,754
2016/6/8,-0.125,0.0661,-0.9427,-0.3,143000,6665,8812,3399,2181,725
2016/6/13,-1.021,-0.5466,-3.2336,-3.21,169300,6922,7360,3559,2458,891
2016/6/14,-0.3121,0.3666,-0.3886,0.32,119800,7790,9270,4145,2561,943
2016/6/15,-0.9674,1.8322,-1.0699,1.58,166700,8571,9994,4524,2815,1156
2016/6/16,-0.3051,0.0185,-0.7558,-0.5,173900,7930,8120,4109,2632,877
2016/6/17,0.0067,0.9566,-0.022,0.43,171500,8063,8006,4050,2272,816
2016/6/20,0.0877,0.2271,-0.7308,0.13,136600,7423,8335,4112,2611,810
2016/6/21,0.3314,1.0556,-0.6796,-0.35,164400,8513,10062,4895,2923,977
2016/6/22,-0.2023,0.9526,-0.3142,0.94,130600,7483,9012,4374,2852,895
2016/6/23,-0.1085,-0.0495,-0.9254,-0.47,136100,6262,6253,4108,2478,869
2016/6/24,-0.2836,0.2631,-2.9171,-1.3,190800,8241,8469,5256,3060,1230
2016/6/27,-0.4809,1.452,-0.4908,1.45,156700,7029,6856,4435,2645,925
2016/6/28,-0.3692,0.6174,-0.5829,0.58,173900,7607,7507,4749,2879,953
2016/6/29,0.2052,0.7361,0.086,0.65,193200,7040,7079,4528,2848,935
2016/6/30,-0.0038,0.2233,-0.3166,-0.07,154500,7070,7282,4377,3211,968
2016/7/1,0.075,0.5251,-0.1296,0.1,141200,6832,6655,4278,2831,942
2016/7/4,-0.2791,2.0468,-0.3395,1.91,222000,7515,7149,4731,2816,995
2016/7/5,0.1053,0.7251,0.0682,0.6,235200,6672,6696,4430,2552,976
2016/7/6,-0.2618,0.3745,-0.7173,0.36,212400,7059,7265,4388,2441,885
2016/7/7,-0.2631,0.2259,-0.7506,-0.01,222700,8004,8244,4555,2852,1245
2016/7/8,-0.5476,-0.507,-1.0927,-0.95,169000,7626,7435,4222,2484,1025
2016/7/11,0.1893,1.1663,0.0941,0.23,224300,7510,7703,4610,2517,965
2016/7/12,-0.08,1.8286,-0.3505,1.82,259500,7836,8101,4614,2887,1030
2016/7/13,0.0043,0.6449,-0.0388,0.37,253700,7479,7245,4319,2679,889
2016/7/14,-0.1867,-0.119,-0.7896,-0.22,180200,6970,7188,4109,2598,875
2016/7/15,0.0872,0.2837,-0.3104,0.01,172900,6715,6868,4093,2504,832
2016/7/18,-0.218,0.1318,-0.7418,-0.35,177500,7904,7453,4489,2595,1088
2016/7/19,-0.1097,0.0012,-0.9619,-0.23,155400,7338,7297,4308,2411,905
2016/7/20,-0.062,0.2107,-0.4599,-0.29,138200,6534,6590,3754,2282,747
2016/7/21,-0.0098,0.84,-0.0176,0.37,163800,6994,6200,3804,2100,732
2016/7/22,-0.0293,0.0086,-1.0382,-0.86,162000,6803,6191,4163,2116,993
2016/7/25,-0.1567,0.4749,-0.3161,0.1,144200,7166,7640,4272,2287,943
2016/7/26,-0.0593,1.1535,-0.0672,1.14,156700,6939,7657,4573,2471,1064
2016/7/27,0.0066,0.238,-3.6371,-1.91,280200,8234,9160,5564,3079,1219
2016/7/28,-0.3843,0.3798,-0.796,0.08,190600,6956,6695,4576,2556,864
2016/7/29,-0.0597,0.1914,-0.7149,-0.5,150100,6581,7075,4051,2261,760
2016/8/1,-0.248,-0.217,-1.5902,-0.87,147400,7760,8545,4429,2706,1015
2016/8/2,-0.1119,0.6059,-0.2285,0.61,115500,6840,8042,4421,2873,825
2016/8/3,-0.2714,0.3324,-0.4878,0.24,141100,6917,8063,4783,2541,890
2016/8/4,-0.0689,0.1477,-0.6556,0.13,133900,6967,7998,4687,2392,1010
2016/8/5,-0.1223,0.3102,-0.3642,-0.19,141900,5743,7218,4159,2285,816
2016/8/8,-0.1368,0.9414,-0.5929,0.93,155700,5954,7405,4347,2399,748
2016/8/9,-0.0989,0.7201,-0.1864,0.71,170000,5880,6603,4031,2102,801
2016/8/10,-0.073,0.2484,-0.2839,-0.23,164700,6413,8033,4193,2426,1012
2016/8/11,-0.1679,0.6394,-0.5823,-0.53,161900,6239,7832,3859,2229,821
2016/8/12,-0.0788,1.6124,-0.1199,1.6,168200,5394,6711,3279,2259,744
2016/8/15,0.1907,2.8456,0.105,2.44,297600,6257,7626,4085,2346,975
2016/8/16,0.1708,0.4878,-0.7401,-0.49,278300,5000,5597,3128,1662,671
2016/8/17,-0.0979,0.1356,-0.6352,-0.02,213800,5236,6359,3451,2303,702
2016/8/18,-0.058,0.5154,-0.5222,-0.17,229400,5035,6936,3302,2085,766
2016/8/19,-0.1199,0.2973,-0.6876,0.13,194300,4864,5824,3006,1837,712
2016/8/22,-0.0232,0.1492,-0.7886,-0.75,185400,5854,6771,3740,1925,825
2016/8/23,-0.1048,0.5286,-0.3655,0.16,161400,5756,6970,4956,2098,778
2016/8/24,0.0749,0.2409,-0.3288,-0.12,145700,5620,7357,4139,2196,820
2016/8/25,-0.403,-0.403,-1.438,-0.57,174000,6512,7067,4439,2410,902
2016/8/26,0.0496,0.6298,-0.1445,0.06,149700,5587,6339,3758,1945,750
2016/8/29,-0.0602,0.1509,-0.3753,-0.01,144500,6286,6993,4244,2284,842
2016/8/30,0.046,0.4222,-0.1321,0.15,140400,6348,6397,4113,2211,765
2016/8/31,-0.0573,0.4235,-0.3669,0.35,141400,6048,6177,4271,2112,732
2016/9/1,-0.0496,0.1041,-0.7329,-0.72,155200,7403,6547,4337,1839,751
2016/9/2,-0.1897,0.301,-0.4183,0.13,150400,5781,6638,3890,1933,678
2016/9/5,0.1094,0.5912,-0.066,0.15,145000,5482,5770,3840,2144,820
2016/9/6,-0.0339,0.7622,-0.6155,0.61,172900,7302,7277,4271,2108,811
2016/9/7,0.0199,0.4842,-0.0917,0.04,187000,6225,6592,4554,2204,828
2016/9/8,-0.0639,0.157,-0.2596,0.13,145900,5618,6032,4263,2300,862
2016/9/9,-0.017,0.1886,-0.5729,-0.55,160700,5539,6006,4294,2296,781
2016/9/12,-1.343,-1.2311,-2.5635,-1.85,206000,6196,6761,5227,2751,931
2016/9/13,0.1012,0.2563,-0.438,0.05,135400,6872,6843,5106,2670,901
2016/9/14,-0.4831,-0.1841,-0.9292,-0.68,133400,5230,5563,4218,2310,759
2016/9/19,0.0824,0.7926,0.0824,0.77,119200,5578,6357,4569,2623,657
2016/9/20,0.037,0.0584,-0.3361,-0.1,118900,5642,6884,4182,2938,996
2016/9/21,-0.0471,0.3126,-0.1806,0.1,115700,5623,6226,4275,2060,706
2016/9/22,0.4147,0.9439,0.3039,0.54,139300,5128,6012,5110,1802,735
2016/9/23,0.0813,0.1476,-0.3126,-0.28,125600,5576,5889,4707,1820,784
2016/9/26,-0.1863,-0.1863,-1.7726,-1.76,144300,6885,7111,5161,2870,1072
2016/9/27,-0.1958,0.5973,-0.3791,0.6,121700,6259,6756,4669,2837,968
2016/9/28,0.0841,0.0841,-0.462,-0.34,104600,5441,6130,4378,2374,1070
2016/9/29,0.1443,0.7142,0.1356,0.36,113200,5277,6248,4256,2663,903
2016/9/30,-0.1411,0.3573,-0.1808,0.21,101300,4919,5133,3595,2376,726
