Date,open,high,low,close,volume,sub_density,diameter,average_shortest_path_length,average_clustering,average_pageRank_score,average_degree_centrality,group,number_of_nodes,number_of_nodes_for_largest_subgraph,number_of_edges_for_largest_subgraph,average_degree,average_degree_sub,bins,pr,pagerank,ci,ci_sum
2014/12/2,-0.482,3.6047,-0.5616,3.08,437700,0.001717739,17,7.113971109,0.002587671,0.000788022,0.001717739,1,2709,1269,1382,1.80952381,2.178092987,"(1.4, 4.2]",0.030927465,0.030927465,15225,64672
2014/12/3,0.194,2.2025,-1.0657,0.59,562100,0.005050505,2,1.994962217,0,0.002518892,0.005050505,1,3517,397,397,1.839067387,2,"(0.0, 1.4]",0.460110512,0.460110512,20002,90681
2014/12/4,0.1343,4.3447,-0.2628,4.34,532700,0.000493112,17,5.356455838,0.005364768,0.000223065,0.000493112,1,6806,4483,4954,1.988833382,2.210127147,"(4.2, 10.0]",0.038969711,0.038969711,1040588,3545908
2014/12/5,0.9037,2.6778,-3.0103,1.32,640500,0.000616478,16,5.836186974,0.00491893,0.000279486,0.000616478,1,5870,3578,3945,1.933219761,2.205142538,"(0.0, 1.4]",0.024524542,0.024524542,336622,1333848
2014/12/8,-1.0537,3.5006,-2.0054,2.82,587600,0.000963667,19,6.281436652,0.00296207,0.0004329,0.000963667,1,4185,2310,2570,1.889127838,2.225108225,"(1.4, 4.2]",0.026344728,0.026344728,89760,387569
2014/12/9,-0.9609,2.3101,-6.1867,-5.35,772000,0.000511922,19,6.124146126,0.002881945,0.000234137,0.000511922,2,7074,4271,4668,1.916878711,2.18590494,"(-10.0, -4.2]",0.037887889,0.037887889,601976,1750315
2014/12/10,-0.1391,3.0346,-1.8267,2.83,512900,0.001037099,18,7.150180647,0.002609333,0.000484496,0.001037099,1,4584,2064,2208,1.784904014,2.139534884,"(1.4, 4.2]",0.021474075,0.021474075,45144,187418
2014/12/11,-0.9702,0.8432,-1.6412,-0.51,482600,1,1,1,0,0.5,1,2,3399,2,1,1.780523683,1,"(-1.4, 0.0]",0.5,0.5,59800,126825
2014/12/12,0.1236,1.2567,-0.3687,0.42,409500,0.002377605,18,7.151259095,0.003887727,0.001109878,0.002377605,1,2628,901,964,1.741248097,2.139844617,"(0.0, 1.4]",0.022069054,0.022069054,11685,34998
2014/12/15,-0.5693,0.7506,-1.6088,0.52,400400,0.333333333,2,1.666666667,0,0.166666667,0.333333333,1,2598,6,5,1.760585065,1.666666667,"(0.0, 1.4]",0.472971649,0.472971649,23310,59812
2014/12/16,0.0132,2.3185,-0.322,2.31,453800,0,0,0,0,1,1,1,3079,1,1,1.83176356,2,"(1.4, 4.2]",1,1,58320,147944
2014/12/17,0.3453,1.823,-0.9328,1.31,542500,0.001265006,18,7.332268066,0.002795734,0.00057971,0.001265006,1,3319,1725,1881,1.847544441,2.180869565,"(0.0, 1.4]",0.035667485,0.035667485,36064,138112
2014/12/18,0.0582,0.9399,-1.003,-0.11,435900,0.001713354,19,7.34055911,0.001013448,0.000786164,0.001713354,2,2938,1272,1385,1.82573179,2.177672956,"(-1.4, 0.0]",0.025092822,0.025092822,16008,71526
2014/12/19,-0.1454,1.9626,-1.2788,1.67,521100,0.001990512,15,5.838837889,0.001717681,0.000897666,0.001990512,1,2675,1114,1234,1.825046729,2.215439856,"(1.4, 4.2]",0.04331804,0.04331804,44965,123756
2014/12/22,0.665,2.6144,-0.5818,0.61,679400,1,1,1,0,0.5,1,1,3572,2,1,1.896416573,1,"(0.0, 1.4]",0.5,0.5,76970,167360
2014/12/23,-1.3546,0.3003,-3.2544,-3.03,437800,0,0,0,0,1,1,2,3674,1,1,1.794774088,2,"(-4.2, -1.4]",1,1,20586,52328
2014/12/24,0.2174,0.5901,-3.2217,-1.98,376800,0.001344361,18,6.91042618,0.00340189,0.000629723,0.001344361,2,3439,1588,1694,1.836580401,2.133501259,"(-4.2, -1.4]",0.055545086,0.055545086,49868,142272
2014/12/25,0.6705,3.3915,-0.0894,3.36,376900,0.003076714,18,6.779495079,0.000505996,0.001455604,0.003076714,1,2428,687,725,1.719110379,2.11062591,"(1.4, 4.2]",0.038601046,0.038601046,14446,27883
2014/12/26,0.178,2.9819,-0.2721,2.77,460700,0.002411312,20,7.574867614,0.005439215,0.001114827,0.002411312,1,2470,897,969,1.778137652,2.160535117,"(1.4, 4.2]",0.033736112,0.033736112,22134,45693
2014/12/29,1.7404,2.0983,-0.971,0.33,510100,0.4,2,1.6,0,0.2,0.4,1,3716,5,4,1.828848224,1.6,"(0.0, 1.4]",0.475676689,0.475676689,75900,115261
2014/12/30,-0.2277,0.7034,-1.1889,-0.07,397700,1,1,1,0,0.5,1,2,2799,2,1,1.74776706,1,"(-1.4, 0.0]",0.5,0.5,17952,50179
2014/12/31,0.2142,2.323,-0.2703,2.18,406000,0.003248963,27,9.169810477,0.003218925,0.001574803,0.003248963,1,2380,635,654,1.713445378,2.05984252,"(1.4, 4.2]",0.053540044,0.053540044,5400,14610
2015/1/5,0.7404,4.1613,0.5938,3.58,531400,0.4,2,1.6,0,0.2,0.4,1,2786,5,4,1.787508973,1.6,"(1.4, 4.2]",0.475676689,0.475676689,17873,51148
2015/1/6,-0.5886,1.3044,-1.4128,0.03,501700,0.012045647,10,4.572344322,0.006522964,0.00591716,0.012045647,1,2513,169,171,1.693593315,2.023668639,"(0.0, 1.4]",0.174049777,0.174049777,2183,6646
2015/1/7,-0.7399,0.6997,-1.1707,0.67,391900,1,1,1,0,0.5,1,1,2394,2,1,1.729323308,1,"(0.0, 1.4]",0.5,0.5,4104,19187
2015/1/8,-0.0592,0.2256,-2.6337,-2.39,371100,0.333333333,2,1.666666667,0,0.166666667,0.333333333,2,2839,6,5,1.775272983,1.666666667,"(-4.2, -1.4]",0.472971649,0.472971649,19982,43011
2015/1/9,-0.5007,3.3818,-0.7878,-0.24,410200,0.001725229,18,6.772799236,0.002151079,0.000803213,0.001725229,2,2792,1245,1336,1.8252149,2.146184739,"(-1.4, 0.0]",0.034688301,0.034688301,37888,85297
2015/1/12,-0.8279,-0.3113,-2.856,-1.71,322100,1,1,1,0,0.5,1,2,2138,2,1,1.695042095,1,"(-4.2, -1.4]",0.5,0.5,3468,14589
2015/1/13,-0.1788,0.9312,-0.4615,0.19,230700,0.002717278,21,7.491312071,0.005103611,0.001264223,0.002717278,1,2142,791,849,1.735760971,2.14664981,"(0.0, 1.4]",0.039792294,0.036719222,13860,39672
2015/1/14,0.2175,1.0256,-1.2773,-0.4,240200,0.003393613,20,6.659543136,0,0.001594896,0.003393613,2,2109,627,666,1.707918445,2.124401914,"(-1.4, 0.0]",0.069051305,0.069051305,10486,23163
2015/1/15,0.0507,3.5578,-0.4621,3.54,282500,0.666666667,2,1.333333333,0,0.333333333,0.666666667,1,2092,3,2,1.702676864,1.333333333,"(1.4, 4.2]",0.486485824,0.486485824,9492,20149
2015/1/16,0.2142,1.9141,0.1209,1.2,339900,0.001673582,16,5.432503928,0.00705445,0.000749625,0.001673582,1,2593,1334,1488,1.875048207,2.230884558,"(0.0, 1.4]",0.044228165,0.044228165,89739,251067
2015/1/19,-5.5314,-3.3848,-8.335,-7.7,401100,0.142857143,2,1.866666667,0,0.066666667,0.142857143,2,6732,15,15,1.962566845,2,"(-10.0, -4.2]",0.47955698,0.47955698,1148199,2449349
2015/1/20,-0.0575,2.3712,-0.5094,1.82,357100,0,0,0,0,1,1,1,4150,1,1,1.838072289,2,"(1.4, 4.2]",1,1,87761,222436
2015/1/21,0.5053,5.167,0.1667,4.74,411000,0.001876053,19,6.808097914,0.001473749,0.00087184,0.001876053,1,3040,1147,1233,1.749342105,2.149956408,"(4.2, 10.0]",0.031094966,0.031094966,26322,97426
2015/1/22,0.1116,0.8657,-0.8916,0.59,353400,0.051219512,6,2.52195122,0,0.024390244,0.051219512,1,2429,41,42,1.703581721,2.048780488,"(0.0, 1.4]",0.366873012,0.366873012,17983,40548
2015/1/23,0.4113,1.8976,-0.4502,0.25,366200,0.5,2,1.5,0,0.25,0.5,1,2258,4,3,1.671390611,1.5,"(0.0, 1.4]",0.479730574,0.479730574,8225,23409
2015/1/26,-0.1345,0.9856,-0.9084,0.94,317500,0.125,2,1.875,0,0.0625,0.125,1,1899,16,15,1.648235914,1.875,"(0.0, 1.4]",0.464523697,0.464523697,1824,4192
2015/1/27,0.1972,0.2079,-2.7478,-0.89,374500,1.2,2,1.2,0.866666667,0.2,1.2,2,2254,5,12,1.71162378,4.8,"(-1.4, 0.0]",0.243426328,0.243426328,8041,24789
2015/1/28,-0.8124,0.0549,-1.7389,-1.41,301900,0.666666667,2,1.333333333,0,0.333333333,0.666666667,2,2314,3,2,1.723422645,1.333333333,"(-4.2, -1.4]",0.486485824,0.486485824,20304,57919
2015/1/29,-1.4139,-0.5733,-2.1628,-1.31,274700,0.001332454,16,6.697588397,0.00317486,0.000620732,0.001332454,2,3322,1611,1728,1.832630945,2.145251397,"(-1.4, 0.0]",0.054943164,0.054943164,88506,185641
2015/1/30,0.3507,0.8031,-1.5939,-1.59,258300,0.2,2,1.8,0,0.1,0.2,2,4666,10,9,1.936562366,1.8,"(-4.2, -1.4]",0.467565368,0.467565368,256608,815270
2015/2/2,-1.9383,-1.0974,-2.7346,-2.56,250900,0.119047619,7,3.028571429,0,0.047619048,0.119047619,2,2823,21,25,1.797378675,2.380952381,"(-4.2, -1.4]",0.241253243,0.241253243,40020,94186
2015/2/3,0.8882,2.5456,0.0458,2.45,248200,0.001675301,15,6.188053107,0.005216122,0.000748503,0.001675301,1,2913,1336,1494,1.860624785,2.236526946,"(1.4, 4.2]",0.037247278,0.037247278,68500,161442
2015/2/4,0.247,1.0632,-1.0535,-0.96,249100,0.000895462,17,6.108804787,0.003719213,0.000406009,0.000895462,2,4122,2463,2715,1.935468219,2.204628502,"(-1.4, 0.0]",0.02337289,0.02337289,114695,511148
2015/2/5,2.4286,2.4286,-1.2068,-1.18,306100,0.001009109,14,6.442797747,0.003388603,0.000456413,0.001009109,2,4409,2191,2421,1.916987979,2.209949795,"(-1.4, 0.0]",0.018757262,0.017610001,63365,271555
2015/2/6,-0.5242,-0.2229,-2.6651,-1.93,246700,0.001642999,19,7.063304303,0.003848489,0.000749064,0.001642999,2,3125,1335,1463,1.84384,2.1917603,"(-4.2, -1.4]",0.025654116,0.025654116,21120,81125
2015/2/9,-0.403,1.4021,-0.8712,0.62,206100,0.002308285,19,7.03826649,0.005812811,0.001076426,0.002308285,1,2487,929,995,1.773220748,2.142088267,"(0.0, 1.4]",0.031306864,0.031306864,20770,59069
2015/2/10,-0.1497,1.5177,-0.3512,1.5,193800,0.25,2,1.75,0,0.125,0.25,1,2617,8,7,1.780664883,1.75,"(1.4, 4.2]",0.469596347,0.469596347,20468,69650
2015/2/11,0.1328,0.7903,-0.0809,0.51,172800,1,1,1,0,0.5,1,1,2181,2,1,1.738651994,1,"(0.0, 1.4]",0.5,0.5,11765,35273
2015/2/12,0.0081,0.762,-0.743,0.5,194600,0.003333981,18,7.239184495,0.001115698,0.001577287,0.003333981,1,2147,634,669,1.738239404,2.110410095,"(0.0, 1.4]",0.056436514,0.056436514,14175,29100
2015/2/13,0.422,2.0087,0.2955,0.96,261300,0.006264099,18,7.162502169,0.003028806,0.002941176,0.006264099,1,1760,340,361,1.695454545,2.123529412,"(0.0, 1.4]",0.049302906,0.049302906,3783,9478
2015/2/16,0.0721,0.7809,-0.2479,0.58,223800,1,1,1,0,0.5,1,1,2308,2,1,1.773830156,1,"(0.0, 1.4]",0.5,0.5,0,0
2015/2/17,0.2644,1.0353,0.261,0.76,228300,0.105263158,2,1.894736842,0,0.052631579,0.105263158,1,2983,19,18,1.829031177,1.894736842,"(0.0, 1.4]",0.463730891,0.463730891,63680,68878
2015/2/25,0.2948,0.3177,-0.9657,-0.56,233300,0.005136413,13,5.666108361,0,0.002487562,0.005136413,2,1855,402,414,1.680862534,2.059701493,"(-1.4, 0.0]",0.073027358,0.073027358,6708,19612
2015/2/26,-0.2073,2.2229,-0.8255,2.15,301300,1,1,1,0,0.5,1,1,1737,2,1,1.717904433,1,"(1.4, 4.2]",0.5,0.5,6726,19043
2015/2/27,-0.0463,0.7939,-0.2229,0.36,299200,0,0,0,0,1,1,1,1827,1,1,1.718664477,2,"(0.0, 1.4]",1,1,11000,24735
2015/3/2,0.6772,0.7992,-0.3514,0.78,346400,0,0,0,0,1,1,1,3312,1,1,1.77173913,2,"(0.0, 1.4]",1,1,62792,80568
2015/3/3,-0.5572,-0.5572,-2.2737,-2.2,382000,0.666666667,2,1.333333333,0,0.333333333,0.666666667,2,2805,3,2,1.736898396,1.333333333,"(-4.2, -1.4]",0.486485824,0.486485824,12546,25681
2015/3/4,0.0346,0.7213,-0.3852,0.51,293600,0.003991276,23,7.700763359,0.007959464,0.001904762,0.003991276,1,2555,525,549,1.744031311,2.091428571,"(0.0, 1.4]",0.094667405,0.094667405,11628,16642
2015/3/5,-0.471,-0.3932,-1.7645,-0.95,320700,1,1,1,0,0.5,1,2,2336,2,1,1.70890411,1,"(-1.4, 0.0]",0.5,0.5,2565,6353
2015/3/6,-0.0136,0.5682,-0.4292,-0.22,282900,0,0,0,0,1,1,2,5243,1,1,1.892427999,2,"(-1.4, 0.0]",1,1,261387,276986
2015/3/9,-0.5206,2.0522,-1.321,1.89,321500,0.001420496,20,6.735538608,0.001704863,0.000678887,0.001420496,1,3045,1473,1540,1.829885057,2.090970808,"(1.4, 4.2]",0.205336288,0.205336288,31512,65347
2015/3/10,-0.4034,0.2273,-0.7665,-0.49,285800,0,0,0,0,1,1,2,3672,1,1,1.821895425,2,"(-1.4, 0.0]",1,1,33116,55611
2015/3/11,0.1073,1.1864,-0.2312,0.15,283000,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,2756,7,6,1.783744557,1.714285714,"(0.0, 1.4]",0.471041052,0.471041052,7144,20464
2015/3/12,0.7266,2.1014,0.2914,1.78,357300,1,1,1,0,0.5,1,1,2597,2,1,1.739699653,1,"(1.4, 4.2]",0.5,0.5,4590,15496
2015/3/13,0.3035,1.252,0.0844,0.7,328400,0.003434377,19,7.660332941,0.007781504,0.001594896,0.003434377,1,2531,627,674,1.765310154,2.149920255,"(0.0, 1.4]",0.059001919,0.059001919,4536,12458
2015/3/16,0.541,2.2649,0.1238,2.26,399100,1,1,1,0,0.5,1,1,2682,2,1,1.754660701,1,"(1.4, 4.2]",0.5,0.5,6018,7938
2015/3/17,0.5885,1.5893,0.3012,1.55,520900,0,0,0,0,1,1,1,2884,1,1,1.783633842,2,"(1.4, 4.2]",1,1,16464,55498
2015/3/18,0.2185,2.1358,0.0287,2.13,545200,0.001979499,20,8.081610172,0.002956134,0.00091659,0.001979499,1,3156,1091,1177,1.818757921,2.157653529,"(1.4, 4.2]",0.028314062,0.028314062,7344,33911
2015/3/19,-0.0358,0.6537,-0.8514,0.14,537300,0.4,2,1.666666667,0,0.166666667,0.4,1,2997,6,6,1.728395062,2,"(0.0, 1.4]",0.512196116,0.512196116,2080,8281
2015/3/20,0.1344,1.3976,-0.3599,0.98,516700,2,1,1,0,0.5,2,1,4216,2,2,1.890417457,2,"(0.0, 1.4]",0.649122638,0.649122638,46789,129429
2015/3/23,0.6299,1.9609,0.5022,1.95,536100,0.001960765,18,6.98859802,0.00436016,0.000915751,0.001960765,1,3646,1092,1168,1.821722436,2.139194139,"(1.4, 4.2]",0.033236548,0.033236548,30996,77612
2015/3/24,0.1313,0.7632,-2.36,0.1,639600,0.000821023,20,7.502910944,0.001152235,0.000394477,0.000821023,1,5105,2535,2637,1.849951028,2.080473373,"(0.0, 1.4]",0.194817265,0.194817265,55848,126314
2015/3/25,-0.2833,0.0472,-1.5401,-0.83,521900,0.001117592,18,7.051680907,0.003174041,0.000515464,0.001117592,2,4686,1940,2102,1.876653863,2.167010309,"(-1.4, 0.0]",0.025764436,0.025764436,50616,183488
2015/3/26,-0.5132,1.2727,-1.2488,0.58,488600,0.666666667,2,1.333333333,0,0.333333333,0.666666667,1,4583,3,2,1.816277547,1.333333333,"(0.0, 1.4]",0.486485824,0.486485824,8672,43118
2015/3/27,0.1097,0.7708,-0.6861,0.24,408900,0.244444444,4,2.422222222,0,0.1,0.244444444,1,3479,10,11,1.794193734,2.2,"(0.0, 1.4]",0.279064299,0.279064299,34200,101944
2015/3/30,0.5287,2.8403,0.5287,2.59,564700,0,0,0,0,1,1,1,3798,1,1,1.814112691,2,"(1.4, 4.2]",1,1,32263,132216
2015/3/31,0.9618,1.294,-1.3079,-1.02,561700,0.110526316,4,2.431578947,0,0.05,0.110526316,2,3739,20,21,1.837924579,2.1,"(-1.4, 0.0]",0.371643506,0.371643506,33174,117028
2015/4/1,0.0118,1.8459,-0.1517,1.66,447500,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,3518,7,6,1.793064241,1.714285714,"(1.4, 4.2]",0.471041052,0.471041052,27084,94113
2015/4/2,0.4565,0.6602,-0.9028,0.41,479300,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,3735,7,6,1.804551539,1.714285714,"(0.0, 1.4]",0.471041052,0.471041052,125904,247415
2015/4/3,-0.5855,1.0095,-0.8775,1,473000,0.001153171,18,6.535276528,0.005746693,0.000529942,0.001153171,1,3808,1887,2052,1.853466387,2.174880763,"(0.0, 1.4]",0.025141752,0.025141752,58125,287724
2015/4/7,0.9185,2.5295,0.7195,2.52,570400,0.000831644,14,5.816815045,0.002446483,0.000378072,0.000831644,1,4404,2645,2908,1.944141689,2.198865784,"(1.4, 4.2]",0.026539717,0.026539717,168020,708241
2015/4/8,0.3825,0.9805,-1.4573,0.84,618100,0.064516129,2,1.935483871,0,0.032258065,0.064516129,1,5018,31,30,1.899163013,1.935483871,"(0.0, 1.4]",0.462068158,0.462068158,207940,662878
2015/4/9,0.2833,0.5403,-2.3727,-0.93,585200,0.001108787,20,6.977561669,0.004672062,0.000512821,0.001108787,2,4776,1950,2107,1.824539363,2.161025641,"(-1.4, 0.0]",0.046679529,0.046679529,94248,231066
2015/4/10,-0.2537,2.0926,-0.7129,1.94,484300,0.001340108,19,7.539709915,0.002425854,0.000623053,0.001340108,1,3521,1605,1725,1.806305027,2.14953271,"(1.4, 4.2]",0.036343248,0.036343248,16168,69258
2015/4/13,0.9522,2.3241,0.5697,2.17,589800,0.000832933,17,6.336246505,0.002813118,0.000386698,0.000832933,1,5342,2586,2784,1.857731187,2.153132251,"(1.4, 4.2]",0.02096267,0.02096267,119356,518741
2015/4/14,0.0987,1.1314,-0.739,0.34,610700,1,1,1,0,0.5,1,1,8400,2,1,1.905,1,"(0.0, 1.4]",0.5,0.5,1538238,2443171
